"Nombre Completo","Dirección","Comuna","Barrio","Email","Teléfono","Otros talleres","Contacto","Clase de equipamiento","Equipos disponibles","Tiene locker","Baños cerca","Equipos electrónicos","Horario","Situación de la zona","Zona","Cómo llegar","Web","Facebook","Twitter","Blog","Newsletter","Cartelera","Teléfono Info","Perifonía","Boletín","Medios Comunitarios","E-mailing","Comentarios"
"Z","afasdf","Villa Hermosa","Sector central","asdfasd","asdfasd","Pintura","asdfasd","Otro","asdfads","Si","Si","asdfads","asdfasd","Alta","Urbana","asdfasdf","asdfasdf","asdfsad","@asdfasdf","afdasdfasdfasd","Si","Si","Si","Si","Si","Si","Si",""
"asdfasdf"," asdfasdfasdf","8","Ciudadela Nuevo Occidente","asdfasdf","asdfasdf","Pintura,Fotografia,Música","sadfasdf","Otro","asdfasdf","Si","Si","asdfasdf","asdfasdf","Alta","Urbana","asdfasdfads","asdfasdf","sadfasdf","@fdaasdfasdf","asdfasdf","Si","Si","Si","Si","Si","Si","Si",""
"EquiPa","adasfd","90","Los Alcázares","asdf","asdfasdf","Pintura","asdfasdf","Otro","asdf","Si","Si","asdf","asdf","Alta","Urbana","asdf","asdf","asdf","asdf@","asd","Si","Si","Si","Si","Si","Si","Si",""
"Reb","asdfasdf","90","Los Alcázares","asdfasdf","asdfdasfsfad","Pintura,Fotografia","sadfsadffsad","Otro","asfasdf","Si","Si","asfasdf","adsfasdf","Alta","Urbana","asfdasdf","asdfasdf","asdfas","asdfasdf@","sadfasdfasd","Si","Si","Si","Si","Si","Si","Si",""
"b","asdfasd","90","Luis López de Mesa","asdf","asdf","Pintura,Fotografia","dsaf","Otro","asdf","Si","Si","asdf","asdf","Alta","Urbana","sadf","asdf","asfd","@asdf","asdf","Si","Si","Si","Si","Si","Si","Si",""
"c","asdfdsa","90","Jesús Nazareno","asdf","ads","Pintura,Fotografia,Música","asdf","Otro","sadfasdf","Si","Si","sadfasdf","asdfsfad","Alta","Urbana","asdfasfd","asdfasdf","asdffasd","@adsfafsd","asdfasfdfasd","Si","Si","Si","Si","Si","Si","Si",""
"d","edsdsafdsf","90","El Salado Depósito","adsffds","asdf","Pintura","sdafdasf","Otro","asdfasd","Si","Si","asdfasd","adsfasdf","Alta","Urbana","asdfasdf","asdfdfas","dsaffdsa","@adsfdfas","dsafsdfa","Si","Si","Si","Si","Si","Si","Si",""
"AZaRoso","Cra 1 no. 1 - 10","10","Sector central","zcxvzxcv","zxcvzxcv","Pintura,Fotografia,Música","vczxv","Parque Biblioteca","zxcvzxcvxzc","No","No","zxcvzxcvxzc","zxcvzxcvzxc","Alta","Urbana","llegando","asdfasdfasd","asdfasdf","@asdfasdf","asdfasdf","Si","Si","Si","Si","Si","Si","Si",""
"EkiPa","adsfafds","13","La Floresta","sgaviria@gmail.com","45234523","Pintura","asdfsad","Otro","adsfasdf","Si","Si","adsfasdf","adsfasfd","Media","Rural","wqewr","rwqer","qwerqwer","@qwerqwe","qwerqwer","Si","Si","Si","Si","Si","Si","Si",""
"Nuevo","Por allí","90","Sector central","yo@yo.com","134134123","Pintura","Yo","Casa de la Cultura","asdfsda","No","No","asdfsda","sadfasdf","Alta","Rural","asdfasdf","asdfasdf","asdfasdf","asdfasfsd@","asdfasdf","Si","Si","Si","Si","Si","Si","Si",""
"Nuevo Equipa","en la casa","90","Sector central","sdf","asdf","Pintura","sdfgdfs","Otro","asdf","Si","No","asdf","asdf","Media","Rural","asfdasdf","asdfasdf","asdfasdf","@asdfasd","asdf","No","No","No","No","No","No","No",""
"Casa3Patios","Prado","13","Moravia","tony@c3p.org","25634433","Pintura,Dibujo,Escultura,Fotografia","Tony","Otro","compus","Si","Si","compus","9-19","Media","Urbana","llegando","c3p.org","c3p.org","@","blog.c3p.org","Si","Si","Si","Si","Si","Si","No",""
"B","asdfsadf","10","Sector central","fasasdf","asdfasfd","Pintura","asdfasdf","Otro","asdf","Si","Si","asdf","asdf","Alta","Urbana","adsfdfssadf","asdffsda","asdfasdf","@asdfasfd","adsfasdf","Si","Si","Si","Si","Si","Si","Si",""
